DATE,CXU900000LB0403M_PC1
1985-01-01,4.47667
1986-01-01,0.57938
1987-01-01,7.70785
1988-01-01,2.37078
1989-01-01,6.39791
1990-01-01,6.14511
1991-01-01,4.51203
1992-01-01,-2.36507
1993-01-01,0.03383
1994-01-01,4.20049
1995-01-01,5.99156
1996-01-01,6.42761
1997-01-01,7.76867
1998-01-01,2.91817
1999-01-01,2.13759
2000-01-01,8.63050
2001-01-01,8.25579
2002-01-01,-0.25485
2003-01-01,2.70013
2004-01-01,2.34451
2005-01-01,3.96770
2006-01-01,4.51771
2007-01-01,0.31470
2008-01-01,5.23491
2009-01-01,-2.19632
2010-01-01,1.52035
2011-01-01,-3.05486
2012-01-01,1.48134
2013-01-01,1.15822
2014-01-01,2.25174
2015-01-01,6.18168
2016-01-01,2.83055
2017-01-01,4.71904
2018-01-01,6.76501
2019-01-01,2.63675
2020-01-01,5.30683
2021-01-01,4.94915
2022-01-01,5.56033
