DATE,MEHOINUSA646N_PC1
1985-01-01,5.35236
1986-01-01,5.41914
1987-01-01,4.65863
1988-01-01,4.48964
1989-01-01,6.16967
1990-01-01,3.56278
1991-01-01,0.63460
1992-01-01,1.69267
1993-01-01,1.95822
1994-01-01,3.26504
1995-01-01,5.64166
1996-01-01,4.13732
1997-01-01,4.28290
1998-01-01,5.07971
1999-01-01,4.65415
2000-01-01,3.16953
2001-01-01,0.57156
2002-01-01,0.42624
2003-01-01,2.14572
2004-01-01,2.33149
2005-01-01,4.51162
2006-01-01,4.03626
2007-01-01,4.21162
2008-01-01,0.13936
2009-01-01,-1.03380
2010-01-01,-1.00442
2011-01-01,1.56250
2012-01-01,1.93806
2013-01-01,5.03724
2014-01-01,0.13062
2015-01-01,5.32985
2016-01-01,4.45860
2017-01-01,3.55691
2018-01-01,3.33660
2019-01-01,8.73694
2020-01-01,-1.00437
2021-01-01,4.07293
2022-01-01,5.36875
