Year,MAB40
1970,25.75
1971,25.71
1972,25.62
1973,25.55
1974,25.52
1975,25.54
1976,25.64
1977,25.69
1978,25.74
1979,25.79
1980,25.80
1981,25.89
1982,25.96
1983,26.04
1984,26.13
1985,26.18
1986,26.24
1987,26.32
1988,26.37
1989,26.35
1990,26.36
1991,26.31
1992,26.36
1993,26.40
1994,26.46
1995,26.56
1996,26.67
1997,26.76
1998,26.85
1999,26.96
2000,27.09
2001,27.22
2002,27.35
2003,27.50
2004,27.57
2005,27.60
2006,27.57
2007,27.59
2008,27.65
2009,27.76
2010,27.94
2011,28.11
2012,28.23
2013,28.39
2014,28.56
2015,28.68
2016,28.84
2017,28.93
2018,29.05
2019,29.10
2020,29.17
2021,29.33
